,AXP
2014-09-29,79.68549346923828
2014-09-30,79.31403350830078
2014-10-01,77.97819519042969
2014-10-02,78.03274536132812
2014-10-03,79.20497131347656
2014-10-06,79.08685302734375
2014-10-07,77.5601806640625
2014-10-08,79.43218231201172
2014-10-09,78.05091857910156
2014-10-10,77.2330322265625
2014-10-13,75.22473907470703
2014-10-14,75.18840026855469
2014-10-15,73.5436019897461
2014-10-16,72.91657257080078
2014-10-17,75.04300689697266
2014-10-20,76.34247589111328
2014-10-21,77.82372283935547
2014-10-22,76.29703521728516
2014-10-23,77.79645538330078
2014-10-24,78.51435852050781
2014-10-27,78.72335052490234
2014-10-28,79.9774169921875
2014-10-29,80.27728271484375
2014-10-30,80.64079284667969
2014-10-31,81.74034881591797
2014-11-03,82.55818939208984
2014-11-04,83.03983306884766
2014-11-05,83.98491668701172
2014-11-06,83.22158813476562
2014-11-07,83.83951568603516
2014-11-10,83.96674346923828
2014-11-11,83.36697387695312
2014-11-12,83.19430541992188
2014-11-13,82.75811767578125
2014-11-14,82.39462280273438
2014-11-17,81.90391540527344
2014-11-18,82.31285858154297
2014-11-19,82.24015808105469
2014-11-20,82.34918212890625
2014-11-21,82.14020538330078
2014-11-24,82.73088073730469
2014-11-25,83.05799865722656
2014-11-26,83.1034164428711
2014-11-28,83.98491668701172
2014-12-01,83.73047637939453
2014-12-02,84.51197814941406
2014-12-03,82.92169189453125
2014-12-04,83.44876098632812
2014-12-05,84.19393920898438
2014-12-08,85.02086639404297
2014-12-09,84.83911895751953
2014-12-10,84.28478240966797
2014-12-11,84.630126953125
2014-12-12,82.69450378417969
2014-12-15,81.8221206665039
2014-12-16,80.18640899658203
2014-12-17,82.18563842773438
2014-12-18,84.66646575927734
2014-12-19,84.42110443115234
2014-12-22,85.07537078857422
2014-12-23,85.25712585449219
2014-12-24,85.493408203125
2014-12-26,85.6842269897461
2014-12-29,85.66606140136719
2014-12-30,85.66606140136719
2014-12-31,84.54832458496094
2015-01-02,84.5301513671875
2015-01-05,82.29466247558594
2015-01-06,80.54080963134766
2015-01-07,82.29985046386719
2015-01-08,83.46643829345703
2015-01-09,82.40922546386719
2015-01-12,81.57071685791016
2015-01-13,81.32463836669922
2015-01-14,79.35598754882812
2015-01-15,78.27140808105469
2015-01-16,78.41725158691406
2015-01-20,79.52916717529297
2015-01-21,79.90283203125
2015-01-22,76.89521789550781
2015-01-23,76.67646789550781
2015-01-26,75.91999053955078
2015-01-27,75.0997314453125
2015-01-28,74.48908996582031
2015-01-29,74.73516082763672
2015-01-30,73.5412368774414
2015-02-02,74.8536605834961
2015-02-03,76.31192016601562
